Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link,Wikipedia Link
Q1051902,Sparticle,,,,,,,,,,,superparticle,https://ncatlab.org/nlab/show/superparticle,,,https://en.wikipedia.org/wiki/Superpartner
Q1051921,String field theory,,,,,,,,,,,string field theory,https://ncatlab.org/nlab/show/string+field+theory,,,https://en.wikipedia.org/wiki/String%20field%20theory
Q1051983,Cyclotomic polynomial,,,,,,,,,,,,,cyclotomic polynomial,http://planetmath.org/cyclotomicpolynomial,https://en.wikipedia.org/wiki/Cyclotomic%20polynomial
Q1052034,,,,positive definite,https://mathgloss.github.io/MathGloss/chicago/positive_definite,,,,,,,,,,,https://en.wikipedia.org/wiki/Positive-definite%20matrix
Q1052579,Unique factorization domain,,,unique factorization domain,https://mathgloss.github.io/MathGloss/chicago/unique_factorization_domain,,,,,unique factorisation domain,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/UniqueFactorizationDomain/Defs.html#UniqueFactorizationMonoid,unique factorization domain,https://ncatlab.org/nlab/show/unique+factorization+domain,,,https://en.wikipedia.org/wiki/Unique%20factorization%20domain
Q1052674,Symmetric algebra,,,,,,,,,,,symmetric algebra,https://ncatlab.org/nlab/show/symmetric+algebra,symmetric algebra,http://planetmath.org/symmetricalgebra,https://en.wikipedia.org/wiki/Symmetric%20algebra
Q1052678,Baire category theorem,,,,,,,,,Baire theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Baire/Lemmas.html#dense_iInter_of_isOpen,Baire category theorem,https://ncatlab.org/nlab/show/Baire+category+theorem,Baire category theorem,http://planetmath.org/bairecategorytheorem,https://en.wikipedia.org/wiki/Baire%20category%20theorem
Q1052692,Filter (mathematics),,,,,,,,,filter,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Order/Filter/Defs.html#Filter,filter,https://ncatlab.org/nlab/show/filter,filter,http://planetmath.org/filter,https://en.wikipedia.org/wiki/Filter%20%28mathematics%29
Q1052752,Stolz–Cesàro theorem,,,,,,,,,,,,,Stolz-Cesaro theorem,http://planetmath.org/stolzcesarotheorem,https://en.wikipedia.org/wiki/Stolz%E2%80%93Ces%C3%A0ro%20theorem
Q1052761,Local homeomorphism,,,,,,,,,,,local homeomorphism,https://ncatlab.org/nlab/show/local+homeomorphism,locally homeomorphic,http://planetmath.org/locallyhomeomorphic,https://en.wikipedia.org/wiki/Local%20homeomorphism
Q1052775,Poisson bracket,,,,,,,,,,,,,Poisson bracket,http://planetmath.org/poissonbracket,https://en.wikipedia.org/wiki/Poisson%20bracket
Q105356493,Circle group,,,circle group,https://mathgloss.github.io/MathGloss/chicago/circle_group,,,,,,,circle group,https://ncatlab.org/nlab/show/circle+group,,,https://en.wikipedia.org/wiki/Circle%20group
Q1053779,Euler system,,,,,,,,,,,Euler systems,https://ncatlab.org/nlab/show/Euler+systems,,,https://en.wikipedia.org/wiki/Euler%20system
Q1053997,Frattini's argument,,,,,,,,,,,,,Frattini argument,http://planetmath.org/frattiniargument,https://en.wikipedia.org/wiki/Frattini%27s%20argument
Q1054170,Hadwiger–Finsler inequality,,,,,,,,,,,,,Hadwiger-Finsler inequality,http://planetmath.org/hadwigerfinslerinequality,https://en.wikipedia.org/wiki/Hadwiger%E2%80%93Finsler%20inequality
Q1054475,Gaussian function,,,,,,,,,,,,,area under Gaussian curve,http://planetmath.org/areaundergaussiancurve,https://en.wikipedia.org/wiki/Gaussian%20function
Q1054513,E6 (mathematics),,,,,,,,,,,E₆,https://ncatlab.org/nlab/show/E%E2%82%86,,,https://en.wikipedia.org/wiki/E6%20%28mathematics%29
Q1054555,Magnetic flux tube,,,,,,,,,,,flux tube,https://ncatlab.org/nlab/show/flux+tube,,,https://en.wikipedia.org/wiki/Flux%20tube
Q1055058,Fuzzy set,,,,,,,,,,,,,fuzzy subset,http://planetmath.org/fuzzysubset,https://en.wikipedia.org/wiki/Fuzzy%20set
Q1055314,Umbral calculus,,,,,,,,,,,umbral calculus,https://ncatlab.org/nlab/show/umbral+calculus,,,https://en.wikipedia.org/wiki/Umbral%20calculus
