Title,Link,Normalized,Candidates
functions on topological space,https://arxiv.org/pdf/1612.09375#page=30,functionsontopologicalspace,
Hausdorff topological space,https://arxiv.org/pdf/1612.09375#page=142,hausdorfftopologicalspace,Q326908 (0.867; token_jaccard=0.67) Hausdorff space [layer3.csv]; Q179899 (0.867; token_jaccard=0.67) topological space [layer1.csv]
open subset of topological space,https://arxiv.org/pdf/1612.09375#page=97,opensubsetoftopologicalspace,
subspace of topological space,https://arxiv.org/pdf/1612.09375#page=121,subspaceoftopologicalspace,
as topos topological space,https://arxiv.org/pdf/1612.09375#page=175,astopostopologicalspace,
two-point topological space,https://arxiv.org/pdf/1612.09375#page=97,twopointtopologicalspace,Q5282066 (0.840; token_jaccard=0.60) Discrete two-point space [layer4.csv]
total order,https://arxiv.org/pdf/1612.09375#page=47,totalorder,
transpose,https://arxiv.org/pdf/1612.09375#page=50,transpose,
triangle identities,https://arxiv.org/pdf/1612.09375#page=60,triangleidentities,
underlying,https://arxiv.org/pdf/1612.09375#page=26,underlying,
as pushout union,https://arxiv.org/pdf/1612.09375#page=138,aspushoutunion,
of constructions uniqueness,https://arxiv.org/pdf/1612.09375#page=18,ofconstructionsuniqueness,
unit and counit,https://arxiv.org/pdf/1612.09375#page=59,unitandcounit,
