title,link,suggestion
$U$-split coequalizer,[$U$-split coequalizer](https://mathgloss.github.io/MathGloss/$U$-split_coequalizer),$U$-split coequalizer
left adjoint,[left adjoint](https://mathgloss.github.io/MathGloss/left_adjoint),left adjoint functor
middle four interchange,[middle four interchange](https://mathgloss.github.io/MathGloss/middle_four_interchange),middle four interchange
category internal to,[category internal to](https://mathgloss.github.io/MathGloss/category_internal_to),category internal to $\mathsf{E}$
G-set,[G-set](https://mathgloss.github.io/MathGloss/G-set),**G-set**
free monoid monad,[free monoid monad](https://mathgloss.github.io/MathGloss/free_monoid_monad),free monoid monad
models,[models](https://mathgloss.github.io/MathGloss/models),model
right derived functors,[right derived functors](https://mathgloss.github.io/MathGloss/right_derived_functors),left derived functor
fully-specified adjunction,[fully-specified adjunction](https://mathgloss.github.io/MathGloss/fully-specified_adjunction),fully-specified adjunction
cocontinuous,[cocontinuous](https://mathgloss.github.io/MathGloss/cocontinuous),cocontinuous functor
endofunctor,[endofunctor](https://mathgloss.github.io/MathGloss/endofunctor),endofunctor
G-equivariant,[G-equivariant](https://mathgloss.github.io/MathGloss/G-equivariant),$G$-equivariant morphism
pullback,[pullback](https://mathgloss.github.io/MathGloss/pullback),pullback square
boundary homomorphisms,[boundary homomorphisms](https://mathgloss.github.io/MathGloss/boundary_homomorphisms),boundary homomorphism
monotone,[monotone](https://mathgloss.github.io/MathGloss/monotone),monotone Galois connection
discrete dynamical system,[discrete dynamical system](https://mathgloss.github.io/MathGloss/discrete_dynamical_system),discrete dynamical system
Galois connection between syntax and semantics,[Galois connection between syntax and semantics](https://mathgloss.github.io/MathGloss/Galois_connection_between_syntax_and_semantics),Galois connection
representable universal property of the limit,[representable universal property of the limit](https://mathgloss.github.io/MathGloss/representable_universal_property_of_the_limit),representable universal property
codomain,[codomain](https://mathgloss.github.io/MathGloss/codomain),codomain
